Dutch,English
de,the
van,from
een,a
het,the  
en,and
in,in
is,is
dat,Which
op,on
te,at
De,The
zijn,to be
voor,in front of
met,of
die,That
niet,not 
aan,at
er,there
om,to
Het,It
ook,also
als,as
dan,then
maar,but
bij,Bee
of,or
uit,from
nog,yet
worden,become
door,by means of
naar,nasty
heeft,has
tot,until
ze,they
wordt,is becoming
over,about
hij,he
In,In
meer,Lake
jaar,year
was,used to be
ik,I
kan,can
je,you
zich,himself
al,already
hebben,to have
geen,no
hun,their
we,we
wat,what
Een,A
Maar,But
werd,became
moet,must
wel,well
kunnen,be able to
Dat,That
nu,now
dit,this
deze,this one
zal,shall
Ik,I
veel,a lot
zo,like this
En,And
andere,Others
nieuwe,new ones
zou,would
twee,two
moeten,should
onder,below
eerste,first
haar,hair
Van,From
wil,want
tegen,against
men,men
mensen,people
gaat,go
tussen,among
grote,great
waar,Where
goed,good  
maken,to make
dus,So
alleen,alone
Hij,He
Op,on
frank,Frank
ons,U.S
u,you
daar,over there
na,after
had,had
gaan,to go
alle,all
Als,As
Er,There
één,a
miljoen,million
jaren,years
Voor,In front of
komt,coming
Ook,Also
Ze,They
eigen,own
komen,come
zoals,like
omdat,because
doen,to do
weer,again
staat,state
heel,all
We,We
per,per
toch,However
onze,our
Die,That
tijd,time
mijn,mine
zelf,yourself
altijd,always
vooral,mainly
af,off
toe,at
waren,goods
hem,it
drie,three
Met,Of
Belgische,Belgian
iets,something
zullen,shall
zelfs,even
werden,be
heb,have
enkele,couple of
aantal,number of
steeds,still
eens,once
minder,fewer
land,land
Europese,European
hier,here
zegt,say
blijft,stays
zonder,without
Bij,Bee
echter,however
werk,work
hoe,how
leven,to live
zij,she
zo'n,Sun
mee,along
willen,want
markt,market
miljard,billion
Amerikaanse,American
zeer,very
toen,when
plaats,Place
krijgen,to get
Dit,This
zien,to see
laten,to leave
blijven,stay
via,through
bedrijf,company
bijvoorbeeld,for example
werken,to work
staan,stand
nooit,never
rond,round
wereld,world
Zo,So
alles,everything
want,because
binnen,inside
elkaar,each other
hele,whole
fr,FR
Wat,What
Deze,This one
bedrijven,businesses
wij,we 
s,s
geleden,past
laatste,last
houden,to keep
weg,away
geld,money
geven,to give
maakt,make
procent,per cent
Vlaamse,Flemish
aandelen,shares
Europa,Europe
dag,day
me,me
weinig,few
maanden,months
ligt,is
uur,hour
beter,better
manier,way
Volgens,According to
groot,big
zit,sit
volgens,according to
lang,long
zouden,would
mag,allowed
mogelijk,possibly
regering,government
Brussel,Brussels
verschillende,various
kwam,came
terug,back
tweede,second
kinderen,children
mij,me
ben,am
deel,part 
man,man
niets,nothing
BEF,Beef
ten,at
Nederland,The Netherlands
kon,could
keer,time
zeker,secure
goede,good  
vaak,often
bijna,almost
aandeel,part
immers,after all
vinden,find
vraag,ask
waarin,in which
wie,Who
samen,together
vier,four
geeft,gives
kleine,little
verder,further
Nederlandse,Dutch
week,week
gemaakt,created
even,for a bit
krijgt,gets
zeggen,say
lijkt,seems
hen,them
laat,leave
Je,You
doet,is doing
nemen,to take
echt,Real
vandaag,Today
erg,terribly
landen,to land
ging,went
Na,After
tijdens,during the day
nodig,required
the,the
duidelijk,clear
Wie,Who
zitten,to sit
slechts,only
vijf,five
vindt,finds
Franse,French
anders,otherwise
weet,know
hadden,had
groep,group
weten,know
dollar,dollar
geval,case
snel,fast
elke,each
net,just
enige,any
minister,minister
sinds,ever since
bestaat,consists
later,later
opnieuw,again
grootste,great
Wij,We
begin,get started
ter,ter
Om,To
brengen,bring
oude,old
achter,behind
eerst,first
meest,most
dagen,to dawn
der,of
politieke,political
The,The
pas,pass
tien,ten
omzet,revenue
onderzoek,research
terwijl,while
Daar,Over there
huis,House
Toch,However
dezelfde,the same
kreeg,got
Bovendien,Moreover
uw,your
Zij,She
vrouwen,women
iedereen,everybody
elk,each
beurs,stock market
natuurlijk,naturally
boek,book
moest,had to
naam,name
stad,city
Nu,Now
meeste,most
winst,gain
Vlaanderen,Flanders
economische,economic
sociale,social
Duitse,German
Hoe,How
gewoon,just
soort,kind
Zijn,To be
allemaal,all
helemaal,all the way
hand,hand
vorig,last
problemen,issues
basis,base
boven,upper
ander,other
prijs,price
vrouw,female
Antwerpen,Antwerp
vrij,free
blijkt,turns out
Bank,Bank
zowel,both
ziet,sees
nieuw,new
zodat,so that
koers,course
vanaf,from
kosten,cost
stellen,set
paar,couple
Want,Because
stuk,piece
geweest,been
Door,Through
eerder,earlier
sterk,strong
vragen,to ask
probleem,issue
houdt,holds
waarde,where the
internationale,International
Niet,Not
wanneer,when
zie,see 
moment,moment
misschien,perhaps
liggen,lying down
politiek,politics
bekend,familiar
gebruik,usage
meteen,immediately
groei,grow
eeuw,century
Verenigde,United
Frankrijk,France
eind,end
toekomst,future
gulden,golden
moeilijk,difficult
mogen,be allowed to
Toen,When
overheid,government
huidige,current
hoge,high
gebruikt,used
klanten,customers
denken,think
lange,long
volgende,next one
valt,fall
rol,role
beste,Best
derde,third
ongeveer,about
soms,sometimes
trouwens,Incidentally
iemand,someone
genoeg,enough
USD,USD
geworden,have become
Of,Or
bestaan,to exist
buiten,Outside
producten,Products
ervan,of it
waarvan,from what
eigenlijk,actually
Duitsland,Germany
neemt,takes
president,president
einde,end
vanuit,from
zoveel,this much
termijn,term
film,movie
verwacht,expected
zaken,Affairs
zes,six
bepaalde,particular
spelen,to play
zaak,matter
Tot,Until
muziek,music
periode,period of time
tegenover,opposite
werkt,works
informatie,information
belangrijke,important
betekent,means
maakte,feature
vorige,previous
weken,to soften
beetje,bit
kost,cost
ooit,ever
belangrijk,important
waarop,on which
Staten,States
zetten,to make
jonge,young
vorm,form
Britse,British
belangrijkste,main
maand,month
rekening,account
volledig,fully
langer,longer
a,a
januari,January
enkel,only
stelt,stilt
hoog,high
systeem,system
betalen,Pay
vele,many
kans,opportunity
vormen,to shape
Aan,On
water,water
aldus,thus
kopen,to buy
best,best
beide,both
open,Open
